Twitter Userid,Cluster Label
61344687,0
606342065,3
4896590771,3
76024761,3
227563338,0
160959422,0
806785861454958592,3
1375865798,1
781862374512922625,3
1486097359,1
3771206615,3
4734979032,3
164891611,3
810912532869287936,3
706833754694803456,3
924191718,3
481561579,1
817494438008254465,3
153226226,0
759659530766708736,3
277283327,3
851708928,3
3254520833,3
3316648966,3
121637897,1
42208266,3
2392807255,0
174328844,3
3419540494,0
100273167,3
3431730197,1
163580953,2
577375259,3
3065908253,3
895749157,0
410127398,3
3577875496,3
799313753292636160,3
3335258632,1
3317042226,1
432147515,3
137104447,3
2589592644,3
584322119,0
3042708553,3
46140490,3
4859104331,3
793545212698193920,3
38407253,1
820539175128567809,3
1576143962,3
528747613,1
716281908984995840,3
290851939,3
1005587556,0
15947623,1
1977879661,3
2372537455,0
3246132338,3
274730101,2
18484343,1
2878385343,0
404229246,3
2491026564,3
48368775,2
3114142856,3
1908889452,1
252710036,0
31567045,3
2754088100,3
756120069181026304,3
40242357,3
225447094,2
77901001,3
755109048,3
1263144126,0
786712042103189504,3
397413572,1
132517061,3
3013741766,3
1655966923,3
251923660,3
246549718,3
213257437,3
397282534,3
801515818844495872,3
726979835101347840,3
3151954471,0
167382253,0
2925661426,3
416287987,3
2864581878,3
789135996529106944,3
754338637739732992,3
3350465793,2
2671119625,3
2855406860,3
1046260952,2
10751252,0
229379349,2
237899032,0
743584647251034112,3
93064478,3
815332900048633856,3
620236065,3
20188452,3
303959333,3
4921494825,3
264637738,0
728310132430483456,3
200019244,0
812510288872284160,3
423497008,0
207097140,3
233835830,1
3250848308,3
1470369086,3
790569578405310465,3
71961923,3
63835461,3
37159479,3
411700556,3
239753101,3
117443924,1
34999637,3
28183902,0
37752159,0
26348896,0
197922146,3
3021213029,3
796464463889203200,0
4765104807,3
229379440,1
83889528,3
92278138,2
258608508,3
231869827,3
118885773,3
1152781710,0
347737487,2
79170968,3
333188513,3
786281584638910466,3
571084196,3
3254652325,3
1123814822,0
1043598763,3
1712590255,1
2733817785,0
48238003,3
29625786,3
214699452,0
73141700,3
27004357,3
709889478,0
141823434,0
761793997,0
1012534734,3
951848400,0
292687313,3
748918700900773888,3
3274965583,3
784635915989815296,3
807694063294152704,3
1653214692,3
1136397811,3
729454980143316993,3
361631222,0
1226444281,1
2267418108,3
3347582463,0
32638002,3
2488012309,3
750916052243124224,3
326766111,0
4416605728,3
3401453093,3
277483050,0
362851591,1
305532466,0
465571379,3
2998799930,3
1075446367,1
3064991297,3
470265099,3
1254493766,3
723200180904828928,3
63966801,0
2685275731,3
3177320020,3
580128346,3
876351067,1
2491901160,3
289672800,3
